session_id,reading_session_id
1,2921
2,2921
3,130
4,130
5,130
6,2961
7,2961
8,2961
9,2961
10,2961
11,130
12,130
13,2961
14,130
15,2961
16,2921
17,2961
18,2921
19,130
20,130
21,2961
22,2961
23,130
24,2921
25,2921
26,130
27,2961
28,130
29,2921
30,2961
31,130
32,130
33,2921
34,2961
35,2921
36,2921
37,2921
38,2961
39,2961
40,2961
41,130
42,2921
43,2921
44,2921
45,130
46,130
47,2921
48,130
49,2921
50,2921
51,2921
52,130
53,2961
54,2961
55,2961
56,2921
57,2921
58,130
59,130
60,2961
61,130
62,2921
63,2961
64,2961
65,2961
66,2961
67,2961
68,2921
69,2961
70,2921
71,2921
72,130
73,130
74,2961
75,130
76,130
77,2921
78,2961
79,2921
80,2961
81,2961
82,2961
83,2921
84,2961
85,130
86,2921
87,130
88,130
89,2961
90,2961
91,2961
92,2961
93,130
94,2921
95,2921
96,2921
97,130
98,2921
99,2961
100,2921
101,2921
102,130
103,2961
104,2921
105,2921
106,2921
107,130
108,130
109,2921
110,130
111,2961
112,130
113,130
114,130
115,2961
116,2921
117,130
118,130
119,130
120,2921
121,130
122,2961
123,2921
124,130
125,130
126,2961
127,2921
128,2921
129,2921
130,2921
131,2961
132,130
133,2921
134,2921
135,2961
136,2921
137,2961
138,130
139,130
140,130
141,2921
142,2961
143,2961
144,130
145,2921
146,2961
147,2961
148,2961
149,130
150,130
151,2961
152,2961
153,2961
154,2921
155,130
156,2921
157,130
158,2961
159,130
160,2961
161,2921
162,130
163,2961
164,2921
165,2921
166,2961
167,2961
168,2961
169,130
170,130
171,130
172,2921
173,130
174,2921
175,2921
176,130
177,2921
178,130
179,2961
180,2921
202,272
203,130
204,272
205,663
206,448
207,503
208,663
209,130
210,272
211,663
212,448
213,503
214,663
215,503
216,272
217,448
218,130
219,663
220,503
221,448
222,130
223,448
224,272
225,503
226,130
252,2961
253,2961
254,2921
255,2921
256,130
257,2921
258,2921
259,2921
260,2921
261,130
262,2961
263,130
264,2961
265,130
266,2921
267,130
268,130
269,2961
270,2961
271,130
272,2961
273,2961
274,2961
275,130
276,130
277,2921
278,2961
279,2961
280,2921
281,130
282,2961
283,130
284,130
285,2961
286,130
287,2921
288,2921
289,130
290,2921
291,2961
292,2961
293,2961
294,2961
295,130
296,130
297,2921
298,130
299,130
300,130
301,2961
302,130
303,2921
304,2921
305,130
306,2921
307,2921
308,130
309,2961
310,2961
311,2921
312,2921
313,2921
314,2921
315,130
316,2961
317,2961
318,2921
319,2921
320,130
321,2921
322,2921
323,2921
324,130
325,2921
326,2961
327,130
328,2961
329,2921
330,2961
331,130
332,130
333,2921
334,2961
335,2961
336,130
337,2961
338,2921
339,2961
340,2961
341,130
342,2921
343,2921
344,2921
345,130
346,2921
347,2961
348,2961
349,2921
350,2921
351,2921
352,2961
353,2961
354,2961
355,2921
356,2921
357,2961
358,2961
359,130
360,130
361,130
362,2961
363,130
364,2961
365,130
366,2961
367,130
368,2921
369,2961
370,2921
371,2961
372,2961
373,2961
374,130
375,130
376,2961
377,130
378,2921
379,2961
380,130
381,2921
382,2961
383,2921
384,2921
385,2921
386,2921
387,130
388,130
389,2961
390,130
391,2961
392,130
393,2961
394,130
395,2961
396,130
397,130
398,2961
399,2961
400,2961
401,2921
402,2961
403,2921
404,2961
405,130
406,2921
407,130
408,2961
409,130
410,130
411,2921
412,2961
413,130
414,130
415,2961
416,130
417,130
418,2921
419,2921
420,130
421,2921
422,130
423,2921
424,130
425,2921
426,2921
427,2921
428,2961
429,130
430,2921
431,2921
432,2961
433,130
434,2921
435,130
436,130
437,2921
438,2921
439,130
440,2961
441,130
442,130
443,2961
444,2921
445,2961
446,130
447,2921
448,2921
449,2961
450,2961
451,130
452,130
453,2961
454,2961
455,2961
456,2961
457,130
458,130
459,2961
460,2921
461,130
462,2961
463,2921
464,2921
465,130
466,2921
467,130
468,2961
469,2961
470,2921
471,2961
472,2921
473,130
474,2921
475,130
476,130
477,2961
478,130
479,130
480,2921
481,2961
482,2921
483,2961
484,2921
485,2961
486,130
487,2961
488,130
489,2921
490,2921
491,2921
492,2921
493,2961
494,2961
495,130
496,2961
497,2921
498,2921
499,2921
500,130
501,2961
502,2921
503,130
504,2961
505,130
506,2961
507,130
508,130
509,130
510,2961
511,2961
512,2921
513,2921
514,2921
515,2961
516,130
517,2921
518,2961
519,2921
520,130
521,2921
552,537
553,302
554,474
555,302
556,537
557,249
558,302
559,249
560,474
561,474
562,537
563,474
564,537
565,537
566,249
567,302
568,474
569,302
570,249
571,249
602,2961
603,130
604,2921
605,2921
606,130
607,2961
652,130
653,2921
654,2961
655,2961
656,130
657,2921
658,130
659,2961
660,2921
661,2921
662,130
663,2961
664,2961
665,130
666,2921
667,2961
668,130
669,2921
670,2961
671,2921
672,130
673,2921
674,130
675,2961
676,2921
677,2961
678,130
679,130
680,2961
681,2921
682,2961
683,130
684,2921
685,2961
686,2921
687,130
688,2921
689,130
690,2961
691,2961
692,130
693,2921
